Address,Organization
0xdD4Bc51496dc93A0c47008E820e0d80745476f22,Staking Facilities
0x8D689476EB446a1FB0065bFFAc32398Ed7F89165,Jump Crypto
0x9a66fD7948a6834176Fbb1c4127c61Cb6d349561,P2P
0x0aC7E9aF32422ac5968622585822E4D89ef51343,Chorus One
0x987Cc5111389a1f58BC7f678C95f485631205Ec3,stakefish
0x5F74a2db08D717c94457c550af54548C4241Ace9,Blockscape
0xC0B581e041C17716Ea1FcEdE4Ec40e2E27a48abA,DSRV
0x3D5A107F7a5bcEC8734c49ed54d41bc6F93eB97F,Everstake
0xD6B7d52E15678B9195F12F3a6D6cb79dcDcCb690,Kiln
0x258cB32B1875168858E57Bb31482054e008d344e,RockX
0xfE78617EC612ac67bCc9CC145d376400f15a82cb,Figment
0xd8d93E91EA5F24D0E2a328BC242055D40f00bE1A,Allnodes
0x8b90ac446d4360332129e92F857a9d536DB9d7c2,Anyblock Analytics
0x4f42A816dC2DBa82fF927b6996c14a741DCbD902,Blockdaemon
0xf6b0a1B771633DB40A3e21Cc49fD2FE35669eF46,Stakin
0xd5aC23b1adE91A054C4974264C9dbdDD0E52BB05,ChainLayer
0xFEf3C7aa6956D03dbad8959c59155c4A465DCacd,Simply Staking
0x40C20da8d0214A7eF33a84e287992858dB744e6d,BridgeTower
0x77d2CF58aa4da90b3AFCd283646568e4383193BF,Stakely
0x60bC65e1ccA448F98578F8d9f9AB64c3BA70a4c3,InfStones
0x065dAAb531e7Cd50f900D644E8caE8A208eEa4E9,HashKey Cloud
0x5Bc5ec5130f66f13d5C21ac6811A7e624ED3C7c6,Consensys
0x765c6a8f20c842E8C826B0D9425015784F982aFc,RockLogic GmbH
0x3C3F243263d3106Fdb31eCf2248f9bC82F723c4B,Galaxy
0x8845D7F2Bbfe82249c3B95e378A6eD039Dd953F5,Kukis Global
0x237DeE529A47750bEcdFa8A59a1D766e3e7B5F91,Nethermind
0xf82B1FdCD493B2dEFAB52c740399fF150bAA7a2A,ChainSafe
0x3bF3A9260fE18A1239767aC6F0F0bc7c1E5d1cBC,Offchain Labs (Prysm)
0x07FE5F404778C27f4d3A0AB56dC59f8eFDd32d96,Sigma Prime
0xcd51df5142156BD92E7A9494Dd2b9362f5078D64,Attestant
0x5a8B929EDBf3CE44526465DD2087EC7EFB59A561,Launchnodes
0xE556Da28015c04F35A52B3111B9F4120E908056e,SenseiNode
0x2A64944eBFaFF8b6A0d07B222D3d83ac29c241a7,A41
0x0a6a0b60fFeF196113b3530781df6e747DdC565e,Develp GmbH
0x2A2245d1f47430b9f60adCFC63D158021E80A728,Ebunker
0x78CEE97C23560279909c0215e084dB293F036774,Gateway.fm AS
0x35921FB43cB92F5Bfef7cBA1e97Eb5A21Fc2d353,Pier Two
0x5Ee590eFfdf9456d5666002fBa05fbA8C3752CB7,ParaFi Technologies LLC
0xcA6817DAb36850D58375A10c78703CE49d41D25a,RockawayX Infra
0x4F75b66cdc60d8550E176D112275e5338b413fc3,DSRV
0x942a3C0644eD50e3FbC1136F7bFfDC505306Bde0,Everstake
0xcd1888692F3dcCaaa09a15147b223B0FAeD949FE,Attestant
0x32ABd81CCF5ff709BbfE716DC844823b5BE5a943,Allnodes
0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,Galaxy
0x49Df3CCa2670eB0D591146B16359fe336e476F29,RockLogic GmbH
0x11D04541b38D4Ab2B87bb0248ef9569Bc7127eea,Stakely
0x8fCaEa54516EeABB45dDE71A72Aa9C3913269e7d,ParaFi Technologies LLC
0x31fa51343297FFce0CC1E67a50B2D3428057D1b1,P2P
0x0bf1B3d1e6f78b12f26204348ABfCA9310259FfA,Blockscape
0x3c3ab712692E80314f8f8d3F8E70Dff9A7806F44,Sigma Prime
0x914C5Aa88FDD26B89704d744741EF75D68D0b26D,Nethermind
0x80058a30B84F339beFb7ABcB25B1412ff0f88Ec3,RockX
0xe8e738c2F1C383aB8282EbE30579118EC9CE4534,Consensys
0xae19454523743DCCa23F5450a45a08394D56b774,Figment
0x46e01ACC55244410D833022B6ccFcCF385Eb03B4,ChainSafe
0x4AAEb3CDA43B826AcfFb3F7Cd72Ae7459A0d3040,ChainLayer
0xc351143f8ec23Cbe7236593477f58AaAeb7E7c9D,Launchnodes
0x7A14d6138aa3CC7C87B15a5dD118315A91EC1bAB,Pier Two
0x012d19cDc857B642E76cc7cFe455d30C2492A990,Chorus One
0x34cD41BFde61615218A8200F7c1A7D4B5870e979,Stakin
0xdF2783c4025530F06fD6A6E3727c96562Ff4d27B,A41
0x0B3551faCd06C28Db7Cf7EE2Ce260C3D147e1545,Kukis Global
0x4Fa9909eCF7F8f8bBC8f6b4B1deab9EaaBE8D60e,HashKey Cloud
0xFEf3C7aa6956D03dbad8959c59155c4A465DCacd,Simply Staking
0xDd0158C9B6bf90A0bc34ff61abC5Da22fD80A6Cc,SenseiNode
0x0364d329B68A70Eec6740B0dC20502C49FfecF1D,Ebunker
0xa467604c9c5828eCBe4B2a14D2df9E388b898366,RockawayX Infra
0xAFE94f442aEA96A9F5fd2feD79B01eC99182a319,Blockdaemon
0x0C10000002B8fE3BB3AD913A54708795877CB871,Offchain Labs (Prysm)
0xE8011087B85953F2b0816A236876A9779462F10b,Gateway.fm AS
0xe2F8CeFcDee51F48e3CE5c4Deea3095c43369b36,InfStones
0xe5276473DB494Dd5933642809907018E7F81B626,Staking Facilities
0x245CBc70f6B89D32b0E81cA0A3Ba94124ac92546,Kiln
0x5dE37A104Fe5934b7F594e459Fb4a7383f6f3619,Develp GmbH
0xfc44af4ff4d93b0a374BB4b4c17a671BCB57Af10,stakefish
0xc7db6E4d17741Aa4C0856A5546EACD8da8fB78ea,BridgeTower
0x3fbF669c9a72F06C125032C6dD7AA1d1D51C5EB8,Stakin
0x14C5D9756A2443Aed4c5dbe05ce39e1F1a27818A,LinkPool
0x1EC3Cbe8fb1D8019092500CcA2111C158a35bC82,Simply Staking
