Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0x417B4Adc279743FC49F047C323FC668db9E600D8	2411	0	0	2005	0	406	2411	
0x4a0D43439baB76164737f48AF22f4e2bBC7477aa	2300	0	0	2300	0	0	2300	
0xaEFf654343D3ebe8b12770c776D08842C5d4c32e	2250	0	0	2250	0	0	2250	
0x8209dBb2068DE9654134E6896b49d89EEB9e9728	2176	0	0	2176	0	0	2176	
0xf9D605Fc8DF58Ab211CD70219589c2Bc3449C382	1996	0	0	1901	0	95	1996	
0xEFBBfB08115B0F6a2825A9a186baA5777F5d2494	1988	0	0	0	0	1988	1988	
0xC4E7263Dd870A29f1cFe438D1A7DB48547B16888	1930	0	0	1801	0	129	1930	
0xba9A3c0a22bAebE8c4926227BdE32d6EdC0D5d28	1905	0	0	1764	0	141	1905	
0x67C42DC01Ef85F278BD0fED66D5B49413649ad8D	1791	0	0	1535	256	0	1791	
0xcf74426DfF26D192000e39d7Dc60bfB23B3c8115	1628	0	0	1628	0	0	1628	
0x51F69db59e282eB6AE0eef30C64e02A1AF38323C	1511	0	0	1511	0	0	1511	
0x1d69DDB528f05Cda072DB0d1f688E47ac81eA9F6	1506	0	0	366	0	1140	1506	
0x264FB7Ad1b70d4F03Aa538A9e8d6e56bFdDf9a80	1502	0	0	1494	0	0	1502	
0xF5181e6736CE86F86AF5E0F375287561BfA97dFe	1500	0	0	1500	0	0	1500	
0x24A91c580C6D864702CE750269d9f0270C21f889	1349	0	0	1349	0	0	1349	
0x1f677edd538BF444C9FdB99931cc6f9A7a53F7Bc	1332	0	0	1332	0	0	1332	
0x1da1FC969F9f0fBdE999398386E4772A0BdbEefE	1308	0	0	1308	0	0	1308	
0xd08933750bfFB86861D1d76E559382658Ef4D762	1306	0	0	0	0	1306	1306	
0xfBFC4eAEd77DC312D8441848D591cFbdAb5A7032	1277	0	0	1277	0	0	1277	
0x852932cbC3001C0f6F03ac88dF3E9a94AFb1202E	1268	0	0	405	0	863	1268	
0x03fF7f8d129Cae6e43903B5d2506Ee5449Cc7BB6	1214	0	0	1214	0	0	1214	
0xf22C61882216d92D4609B5945B5063c596e619F3	1100	0	0	0	0	1100	1100	
0x40EEBC798265156BF05914D9c92Ae0cdBA74A48D	1096	0	0	479	0	616	1096	
0xA577c7A303FFdFE6bEb3542A39F39459b4a0caf8	1030	0	0	935	0	94	1029	
0xDC38C6Fa12cF847dC11eB5e067E24f2183497469	1024	0	0	0	0	1024	1024	
0x73eE0363735c34543D18839Dbe03bb640147eaf4	1009	0	0	489	3	517	1009	
0xa62415321891FF1cAECd49672211191AE140Dd46	1000	0	0	0	0	1000	1000	
0xC95cCb6F3EfEA05D8753601c063C9cF578D25B32	1000	0	0	1000	0	0	1000	
0x9ED7e39DBBD0Ef70BeC60DA0F44B7D09133268E9	995	0	0	995	0	0	995	
0x06C3b4059d14C3Ea82dF67d9B0C3f0Dd99B890fD	975	0	0	975	0	0	975	
0x91b7628e4680639fB1950C60eB9A2089B16A4F7d	856	0	0	655	0	100	856	
0x0B84f92ab638057957C7b2E2a7CA55de2cf1dEE8	831	0	0	407	10	404	821	
0x0dFaE56DBe607FE1DF018B1C5Da8D049bc590D06	831	0	0	0	0	831	831	
0x4069D8A3dE3A72EcA86CA5e0a4B94619085E7362	814	0	0	631	0	180	811	
0x4a0dE283b1d52ACB5822EBc1F4370781175Cea20	796	0	0	795	0	1	796	
0xBf15bd159aE5B410c4B7d4AE0230Fb81F2f21cF1	783	0	0	783	0	0	783	
0xf85eDe9a5658D28ADDC48a46c2051Ad8c675BcA3	772	0	0	772	0	0	772	
0xa726DD87151555cAA4F55153b105D5Fc288812d2	770	0	0	770	0	0	770	
0x975eBE4CC9669Da011AA29499A1659b02Bcfe284	768	0	0	768	0	0	768	
0x87F8909Bed6e7CC29fbFB512cCAdcEf93478bA39	768	0	0	0	0	768	768	
0xe0301CFC82b341087AAA3e2d7a461c29443f76AC	766	0	0	766	0	0	766	
0x9246f4C0AcdD2556c2cb8005CbF36572a88cA444	763	0	0	763	0	0	763	
0x0A8e6B90E0C3430E4a9d2ceA13F47537b454470A	750	0	0	750	0	0	750	
0x69299c925183E7cEe5dcE9921C4FAeEf0ddede09	750	0	0	750	0	0	750	
0xc6bbC40Ae3322bD448518211d2218Dbb1B307768	750	0	0	750	0	0	750	
0x8Ac7dCc349245fEd30AF5A978a27433cf4Ddf9D0	750	0	0	750	0	0	750	
0xf80F097CDFf0bC519cCc77ec7fd1B763e7bdE8Ad	748	0	0	748	0	0	748	
