address,galxe-lido-point-holders,lido-dappnode-buyers,obol-techne-credentials-base,obol-techne-credentials-bronze,obol-techne-credentials-silver,rated-solo-staker,stake-cat-gnosischain-solo-stakers,stake-cat-rocketpool-solo-stakers,stake-cat-solo-stakers-B,csm-testnet-good-performers
0xef6ee1ece8664605493e69de51f490c096beeaa7,X,,,X,,,,,,
0x96e4e2ebbeff1f45bfb678695628fa7a0398de1c,X,,X,,,,,,,X
0x1225588117f705b36175f440c4bdff61319f9847,X,,,,,,,,X,
0xd5480be181f4417828ff619d8b6df48e10f3ebab,X,,X,X,X,,,,,
0x7ba1724530bbdfd0d3f19c227832aff63f255de9,X,,,,X,,,,,
0x7e6c439ac8e8940242d517139eac1234539f584a,X,,X,,,,,,,
0xbcff060f601684a0dbf5b0ea48d8dcc112f4ff2f,X,,,,,,,,,
0x0dcf008877676d627cd796e7c6919f4036ac60c0,X,,,,,,,,,
0xde304a13f643d008283e2f598f25e916c4701181,X,,,,,,,,X,
0x27a1b27b2e8bfdd57a3049415dcf6a63ac11667f,X,,X,X,,,,,,
0x0d6301a8ad83b85b74b91952893a6f7e5f70159e,X,,,,X,,,,,X
0x7bfc63a067b730b4f4f20175980ebdacce691ea4,X,,,,X,,,,,
0xfa731c3f64bf97f528292b137faf0abb14da3b42,X,,,,,,,,,
0x0178274ec3e22cb684a35d829f5e15f66441e71a,X,,X,X,,,,,,
0xa8e7b0c676ec5069b3616e2ac571f2d68b3a5b98,X,,,,X,,,,,
0xfe222247735b3c7ef099ba761f9477450f5256fe,X,,,,,,,,,X
0xf2d011008eb6d0574180d6a39d84bba230f554b9,X,,X,,,,,,,
0x6f5ac60985d950a7851ad5e0a03391f9e3b58abb,X,,,,,,,,,
0x9088e50ce6d622d17ba6c24f5a16d5d43dcbd27f,X,,X,,X,,,,,
0x299776620339ea8d5a4aaa2597fcf75481ada0af,X,,X,X,,,,,,
0x740d7bf6121cde6c7d47ee364e51803475354b59,X,,,,,,,,,
0x000b4369b71b6634f27f5de9cbaaabb0d21b8be5,X,,,,,,,,,X
0xd1751454aae005b46f835a047d8fb572b11c81b4,X,,,,X,,,,,
0x3ea44328b48a027a5e7ada15c193cbc388268786,X,,,,,,,,,
