Address,Points
0x000b4369b71b6634f27f5de9cbaaabb0d21b8be5,15
0x006dab95f4fb483ceb62139ad827335b06956f9c,2
0x00ad863acd924fb8aa3900da013912cb84462e4e,5
0x00d4c10e21c939c2e56f129edbce3be31f703651,11
0x00f7fb4cd865c370e469906b29f93cfcb3177767,10
0x010dc5440ad49f9ec0dd325b622d9fd225944ee4,10
0x0178274ec3e22cb684a35d829f5e15f66441e71a,16
0x0180fb2c78c620e78b7de9a83ef3e04ce6608b36,10
0x018886b7f7ae03f33522074cd9bccc0b3a5109dc,12
0x0195faf29fe8a1becec6645396f9709ccf5a2ccb,15
0x024813b4972428003c725ea756348dcd79b826e6,5
0x026a6c9e770ee00bf35a508be3576058914ad95a,4
0x027906b8b47bb8737a8901d2f192d66f601a8efe,1
0x0293d6c6d103380e5880f6f66966c11ffc232541,5
0x02b34a8672941990696e177630e00fc04aa99d52,1
0x032a3e36ca04309b354fbe35a5ce271359efd2f0,4
0x03368081e1bb7108103caa03d8b67193333cc078,6
0x0345fa5dc69c9ca90a441215e2fa8a0b36469286,52
0x03e336513e074b8595e1d1c70f0800a772d3c006,5
0x0494f503912c101bfd76b88e4f5d8a33de284d1a,4
0x04b39e1e6348f50b526ce9255aa2b85442164319,10
0x04c3845777c5dc1a774ef71bc3dc213396a1a108,5
0x04c5697ab48a0dec80770d008c1657b7108a7e2b,4
0x04d68ca02dedb32458062dcf2c906588521fbc3e,1
0x04d720b4c8b6798d84df8f4c157887cbaedd8542,5
0x04e3cc7228b4461bfffbee69e31768796b2d13e8,1
0x04ecbcb5a43080c8a854bdce5d36b15355be505a,10
0x05284b4c80fb7869b8e672d54d9b450626c10a98,5
0x057048197ff499d1f3111b05a1c6e9db9b27eea9,1
0x0581b1269e756ba9772b2a822f95d784bbedb82c,4
0x06100675344a3e074f6fb63ee867d8790cd8747e,5
0x0624e2696007285af20d8c3e1fa7abc30b1670c2,14
0x063882309dff155ad967bcf08db42e0ee799b602,43
0x0651316bc5d9774d74709aa0da102087303c9279,1
0x068c62664dde208dd99a42f444f003135620e089,5
0x0695a4c2edc2889da8663c92bedb7c10a07ecc54,5
0x069d74bc5bbde2381585cc43e08ba500823fe57c,1
0x06a90756e57bc7a016eed0ab23fc36d11c42bba0,14
0x06c278df5f8d3be30d2971adb30b82ceae6e9034,6
0x06c2c4db3776d500636de63e4f109386dcba6ae2,10
0x06e9ef1dbfe2b06ef1026c37df3b6546a870459c,1
0x06f951500de07ffeed469b7d888ff16e838d6acd,6
0x074cc5943b13a895dcf613baca1a89ac9e863c82,6
0x0756379214d7a6ef325a4a6d6ce350db8c8afd95,10
0x07a7b31b6e67d9c8d02fe69d7ae58fc396e7c36a,10
0x07da09e4bc7778b67d119f3bc4ad909ebf74a928,4
0x080219595ecf1d967f23f2055e864b041b1cdee6,5
0x0808c1d3939783455c31b1b30181d0354b1e39d4,4
0x080b2fafc5f765fac047a616ad3661bf458e3b98,1
0x0813bf4d9be06f517079abccea79a356af12929d,10
0x081ea781a87b806b11f3ad6db68118d241ac3c80,1
0x0855cff644eafc07a44b49ffdc0575b33bcaa572,6
0x086d04193acd9874b2b80f998bb96a77ad19ced7,20
0x0879fd84b537d1bd82041ecd37a84ee338f6e3d4,10
0x08888b148a71f67fade06a0e5f75108df6690e9b,10
0x08b7ab9bbc3a07cf7f75b4acec5b536b7e040cfc,8
0x08dc7c00bcbbb2c063cb0bbe7c6d6c2a009484d2,3
0x08f946da8b6f5eba6ba6a74c111da05ea41731e5,1
0x0901f413ecb002b65e3dd857480216f136c9a291,6
0x090687799d0616b91a2f7da50623c4a1dc702600,14
0x094a9009fe93a85658e4b49604fd8177620f8cd8,1
0x094b503b0f663f392e0a0a2a647db2119d9004da,1
0x0977de4fbf977db858a1dc27d588f9f661263d86,7
0x097fed41fb8a5707bd1522050fbc57006f9f02b9,24
0x09825ac4fb2189bb789c155633b8a78407d64004,3
0x0982cebfca393ca12e38e4beda4ebd4dacda6142,8
0x09afcd6051c04fcfd134fd23e93bd298cf1798d7,5
0x09cf9857754672d1c92329ea0be2f139e9954161,3
0x0a03862201201ac4080a1b5b3415e51da7d22cd8,6
0x0a2245a13fdec3304749ad8fb2652304ccb0bded,1
0x0a312f3474ba3297043af0430888fdd46edd26c1,1
0x0a65c215ce8abc782a4b763fffa10a41652ac42c,5
0x0a9425b6c93b2447fcbd33e9c28b397bf49e8628,1
0x0ab153f699d8958cada9437a94cd53b834807c6a,1
0x0b093ad811ec69282a7c5b88c24c124de893355c,5
0x0b6726d84b553351e8b85b21a37f2b69a0801732,20
0x0b8e5bdbb5b8d83af32d3984ba9bfae635edf156,4
0x0ba5a0769f4137ae170a851233413411f22987d1,1
0x0bcf5e0b4d4956f85c3a7b6a718d23262f303ed1,1
0x0be64de0426d5754b779aa1ae9110ef9f694fbd6,1
0x0c2c4581fcb3f5e92e928cb01d8d07242dbea8c1,5
0x0c564c740a4212d0a7ff3f494e57487ea74ea9be,4
0x0c6239f1d94b7a37cc15d6e7182ab4a683bec3c0,7
0x0c8f3e3912f35a59ffddc9ff1abb8fafc89b29de,11
0x0c959ac451d0c08107039293b126a502ab445230,5
0x0cbe6434b754469ef89f7e3763fc2991979b8316,1
0x0d09b99fdfbe0e937e3daab4f50eed2d39cfff50,10
0x0d54195d55385824f7a2d2b9045285cf3b489e95,24
0x0d6301a8ad83b85b74b91952893a6f7e5f70159e,25
0x0d8a84bad729605fa50dcf18d1c3e97f4bac6180,7
0x0d8d4e0c1a3f3cd2bd78fa14e6abee714faf21c1,6
0x0db099fc6c931eee24edd69d50a149b33ef949ff,1
0x0db5c8e6b7e3db5469cfd21e88f0289376e15d0f,7
0x0dc2e4b0533320c3454f56e15564bea1dd358e5a,10
0x0dcf008877676d627cd796e7c6919f4036ac60c0,15
0x0df00f4f3fed501edcef1aca96f078afbff0a181,1
0x0e4e4824dbae2dc4104a019059c7c8778163ed94,5
0x0e4e625c59271cc39e687524c3896088257c01f3,10
0x0e83e4e2ae5d765d409b9bf698e3e5903c8ebfa4,1
0x0eb15d9af6806e76338531926dfb6199d09f5896,10
0x0eb2d762a33552806d21c1246625e586c43addc1,15
0x0edc0ba6093475c4e1a35c43c77cb706b1ee88be,5
0x0ee805a2cd9f831b8b6c436ec74e2246bf41252d,4
0x0f220f4a6bb60fbd3659d67c31787dc135d53ebd,1
0x0f638c2cc65d72c1aecd056d1fda2918126fbdfe,1
0x0f87b1797f4ab5c7811213702de1c966337564b9,5
0x0f9731ed2c2c2eb2ff39ff018ed2e01fc948844b,6
0x0fa4bd459a829151354589679b074d8c1738062f,15
0x0fac9b94b2e6e5ca32e524a1c8b02749b3957497,10
0x0fed93a9a479a98ff16e3f77e18ad595f61e81f0,1
0x100d2f5d95815601194cd508449961071d6c2a0e,5
0x103deeed9e3f43db140165ef53c61cd6fb1a8abe,5
0x1067a3bd847638b62e848ceb4e4c5f485dd1aad3,1
0x1094f3fad8dd27f7f99ba1ba8e3601bbcaebf81a,2
0x10f0506d77d92096b90101b560abdf01c12ec976,5
0x111111123a125c288b24f89be1223b0ab2f1ab8d,5
0x113724ed2635eb266b10a4042fad13b5a92b4c2b,1
0x11612e5e8479a47c3c1f0750236062be9ce0bf65,5
0x1177624405e2d93554445e132a1d6fb572bd5c26,14
0x11c4ad0a697df0565a652f72b81af1847f9f4895,5
0x11f600e4f6afdffa4e5c92d596433e789080cc54,1
0x1225588117f705b36175f440c4bdff61319f9847,6
0x12afc6451f21feddeb1f732d6baa02684c258d9c,20
0x12dbda36992a9f67f23121cad87c99529b3e6616,1
0x12f10eb7d5f9775a7e508406ce4ae566b2b04f7e,4
0x1353f76e1e0ae32312f07e4089e2ea7ce6c2f3b1,12
0x1359c843a8a2f70c4958588adc9b1020741bf78b,5
0x137dd253d5c257f105a9dcdba64e207ced982746,5
0x138275f26472e54c022b78178497090cec57e89a,11
0x13c2f1b2f9220e4ea1443bdd606640fcd1745d26,4
0x13daf15e66e6214a1645413f3d858d3947f5900a,15
0x13e9b3ea5159ca4dccef9dc2907974027d663703,10
0x143125937952fc37763cd41d44a6f436d2510952,60
0x144d38e1da927980a3eed1372b9b4e0d5b1385f2,1
0x1452a8c4745001cda8a5920b773cbd58b1d29b43,12
0x14672e795bf9d4f16391960e533c08d450b63ce9,3
0x14e8bffe701db8ae9146defc4d9afe61b5bf3d32,6
0x14ecccb5f1b99bb6d2eeb6fa7c3f7acb91a0316a,6
0x1514566e164e27edc0d47f18ed653620b4fc7f5f,7
0x15888938b2347b99df2c08f5f2f4dd6e0c747b70,3
0x162f8d603252b28109f2253a7649d5a631449983,1
0x167712993b60d89a9b1c4b3b1497a2c0e737a066,2
0x1689083a4ad6da28a28605dc200ca45e6181b70c,3
0x168df16960a1a1feb1dd8dd8bb47d200c14fe451,5
0x16958660243e9be694a0719002fb6cb5bb2709f0,4
0x16b03389be83f26c9f1a023dce0f9eda58a5708a,10
0x16e16370ec9f5df2327dc4ec29de25859378495d,2
0x16ed92288b03bc78317b698402606c011d3e7b6d,5
0x1718ab2dde1a5869ba252cba5e1b15531bb4cbc1,6
0x17366cae2b9c6c3055e9e3c78936a69006be5409,10
0x17369c615d003abb06a8c1d84b79ffea057cfd82,5
0x173c31d75c79d53a1b1ce7aaba50c24575114aae,1
0x17817b1a7ca41621f11be3f5df5deefff595fa2b,1
0x17a6f204b2ff43cc4954d8cfcbca62e440f91ac8,1
0x17a8300d71944f98ec9178125f6d34d2c1144859,4
0x17ae15bfba6c7e938a6da3932750b47d205e8245,1
0x17f4f11d9cfe0cd2d45094410b938862bc4ebe50,10
0x17fad4ab544d56d8551859252c8eee82706dd61b,5
0x1819eba4f13d2693756d38acf8d3e9aabbd8fdb5,5
0x18313412fdde30f42c385133907a9c22fdd7fbf8,21
0x187383fa8eafa16252e1770de72df6c9fbca7643,3
0x1888fa494f7b1214b29f726e316cf83508318b88,5
0x18c674f655594f15c490aeeac737895b7903e37f,1
0x18eccd7a9a4d111f5d9d3044bf77a20b064822ac,1
0x19b30a77abcce9d649f2d72a51d5918fbe98b7ff,3
0x19dc3061c2243a34c9e54deccbabecf784ce0682,10
0x1a114e66a5557bc1f858d2a5666f7117d075be3d,1
0x1a155ecee2582697c7e9313ebd577167f12ba5a1,5
